"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
23 Apr 2026 13:00:48.671,342.004,-20.425,5807.257823
23 Apr 2026 13:01:48.000,337.962,-19.918,5711.761855
23 Apr 2026 13:02:48.000,333.831,-19.548,5641.944498
23 Apr 2026 13:03:48.000,329.708,-19.330,5600.637230
23 Apr 2026 13:04:48.000,325.651,-19.269,5588.592757
23 Apr 2026 13:05:48.000,321.721,-19.364,5605.630940
23 Apr 2026 13:06:48.000,317.975,-19.609,5650.648306
23 Apr 2026 13:07:48.000,314.468,-19.993,5721.694990
23 Apr 2026 13:08:19.923,312.714,-20.249,5769.216258
23 Apr 2026 13:41:50.300,340.383,-20.456,5774.858063
23 Apr 2026 13:42:50.000,343.597,-19.186,5535.801056
23 Apr 2026 13:43:50.000,347.054,-17.904,5296.008032
23 Apr 2026 13:44:50.000,350.776,-16.635,5060.544883
23 Apr 2026 13:45:50.000,354.799,-15.400,4833.757649
23 Apr 2026 13:46:50.000,359.155,-14.224,4620.462198
23 Apr 2026 13:47:50.000,3.866,-13.136,4425.878833
23 Apr 2026 13:48:50.000,8.936,-12.170,4255.478468
23 Apr 2026 13:49:50.000,14.343,-11.360,4114.702661
23 Apr 2026 13:50:50.000,20.026,-10.741,4008.552277
23 Apr 2026 13:51:50.000,25.891,-10.345,3941.071052
23 Apr 2026 13:52:50.000,31.806,-10.190,3914.821398
23 Apr 2026 13:53:50.000,37.621,-10.284,3930.492178
23 Apr 2026 13:54:50.000,43.188,-10.616,3986.769039
23 Apr 2026 13:55:50.000,48.379,-11.165,4080.516001
23 Apr 2026 13:56:50.000,53.099,-11.897,4207.205235
23 Apr 2026 13:57:50.000,57.291,-12.776,4361.457501
23 Apr 2026 13:58:50.000,60.934,-13.765,4537.556610
23 Apr 2026 13:59:50.000,64.034,-14.829,4729.844999
23 Apr 2026 14:00:50.000,66.613,-15.940,4932.986687
23 Apr 2026 14:01:50.000,68.703,-17.070,5142.102872
23 Apr 2026 14:02:50.000,70.343,-18.199,5352.822344
23 Apr 2026 14:03:50.000,71.570,-19.308,5561.277097
23 Apr 2026 14:04:50.000,72.421,-20.380,5764.069404
23 Apr 2026 14:04:50.374,72.426,-20.386,5765.308401
23 Apr 2026 14:25:47.774,46.191,-20.759,5860.840652
23 Apr 2026 14:26:47.000,44.040,-19.558,5636.292053
23 Apr 2026 14:27:47.000,41.777,-18.245,5392.304786
23 Apr 2026 14:28:47.000,39.405,-16.841,5133.360105
23 Apr 2026 14:29:47.000,36.889,-15.348,4861.385615
23 Apr 2026 14:30:47.000,34.185,-13.770,4578.635273
23 Apr 2026 14:31:47.000,31.233,-12.111,4287.774231
23 Apr 2026 14:32:47.000,27.954,-10.376,3992.000481
23 Apr 2026 14:33:47.000,24.248,-8.571,3695.220233
23 Apr 2026 14:34:47.000,19.985,-6.707,3402.294119
23 Apr 2026 14:35:47.000,15.004,-4.804,3119.368948
23 Apr 2026 14:36:47.000,9.114,-2.900,2854.282806
23 Apr 2026 14:37:47.000,2.115,-1.063,2616.949244
23 Apr 2026 14:38:47.000,353.860,0.589,2419.435456
23 Apr 2026 14:39:47.000,344.357,1.886,2275.169181
23 Apr 2026 14:40:47.000,333.904,2.632,2196.611646
23 Apr 2026 14:41:47.000,323.124,2.683,2191.555049
23 Apr 2026 14:42:47.000,312.800,2.033,2259.981323
23 Apr 2026 14:43:47.000,303.574,0.820,2393.992040
23 Apr 2026 14:44:47.000,295.765,-0.760,2580.886453
23 Apr 2026 14:45:47.000,289.399,-2.532,2806.919987
23 Apr 2026 14:46:47.000,284.332,-4.374,3059.715955
23 Apr 2026 14:47:47.000,280.368,-6.213,3329.109691
23 Apr 2026 14:48:47.000,277.313,-8.008,3607.076190
23 Apr 2026 14:49:47.000,275.004,-9.737,3887.339482
23 Apr 2026 14:50:47.000,273.309,-11.388,4164.952201
23 Apr 2026 14:51:47.000,272.123,-12.955,4435.952055
23 Apr 2026 14:52:47.000,271.364,-14.430,4697.106306
23 Apr 2026 14:53:47.000,270.968,-15.811,4945.730141
23 Apr 2026 14:54:47.000,270.884,-17.094,5179.559519
23 Apr 2026 14:55:47.000,271.070,-18.274,5396.664340
23 Apr 2026 14:56:47.000,271.493,-19.346,5595.385260
23 Apr 2026 14:57:43.781,272.084,-20.260,5765.218140
23 Apr 2026 15:11:43.495,291.330,-20.555,5799.674111
23 Apr 2026 15:12:43.000,292.832,-19.606,5619.877221
23 Apr 2026 15:13:43.000,294.311,-18.525,5416.076477
23 Apr 2026 15:14:43.000,295.750,-17.320,5190.509006
23 Apr 2026 15:15:43.000,297.148,-15.991,4944.115314
23 Apr 2026 15:16:43.000,298.507,-14.536,4677.938628
23 Apr 2026 15:17:43.000,299.832,-12.950,4393.125597
23 Apr 2026 15:18:43.000,301.132,-11.224,4090.928323
23 Apr 2026 15:19:43.000,302.420,-9.346,3772.711619
23 Apr 2026 15:20:43.000,303.720,-7.290,3439.966646
23 Apr 2026 15:21:43.000,305.067,-5.021,3094.339862
23 Apr 2026 15:22:43.000,306.517,-2.475,2737.689602
23 Apr 2026 15:23:43.000,308.168,0.453,2372.203057
23 Apr 2026 15:24:43.000,310.191,3.952,2000.655009
23 Apr 2026 15:25:43.000,312.933,8.382,1627.032365
23 Apr 2026 15:26:43.000,317.191,14.502,1258.258385
23 Apr 2026 15:27:43.000,325.227,24.019,909.818538
23 Apr 2026 15:28:43.000,345.767,39.885,626.902058
23 Apr 2026 15:29:43.000,43.850,50.027,534.528526
23 Apr 2026 15:30:43.000,87.121,33.501,712.241301
23 Apr 2026 15:31:43.000,101.009,20.102,1026.463235
23 Apr 2026 15:32:43.000,106.797,12.066,1383.933555
23 Apr 2026 15:33:43.000,109.733,6.671,1754.290427
23 Apr 2026 15:34:43.000,111.342,2.633,2126.204420
23 Apr 2026 15:35:43.000,112.207,-0.626,2494.110494
23 Apr 2026 15:36:43.000,112.596,-3.392,2854.558621
23 Apr 2026 15:37:43.000,112.650,-5.817,3205.024795
23 Apr 2026 15:38:43.000,112.449,-7.990,3543.457812
23 Apr 2026 15:39:43.000,112.043,-9.961,3868.085776
23 Apr 2026 15:40:43.000,111.464,-11.764,4177.324545
23 Apr 2026 15:41:43.000,110.736,-13.417,4469.734478
23 Apr 2026 15:42:43.000,109.876,-14.933,4743.997025
23 Apr 2026 15:43:43.000,108.898,-16.318,4998.904631
23 Apr 2026 15:44:43.000,107.814,-17.577,5233.354642
23 Apr 2026 15:45:43.000,106.635,-18.709,5446.348426
23 Apr 2026 15:46:43.000,105.372,-19.717,5636.990494
23 Apr 2026 15:47:40.393,104.096,-20.562,5797.702557
23 Apr 2026 15:59:48.591,86.964,-20.786,5857.407305
23 Apr 2026 16:00:48.000,85.954,-19.953,5701.941588
23 Apr 2026 16:01:48.000,85.073,-18.990,5522.722366
23 Apr 2026 16:02:48.000,84.354,-17.907,5322.165346
23 Apr 2026 16:03:48.000,83.819,-16.705,5101.400147
23 Apr 2026 16:04:48.000,83.495,-15.387,4861.718317
23 Apr 2026 16:05:48.000,83.417,-13.952,4604.598154
23 Apr 2026 16:06:48.000,83.626,-12.399,4331.738547
23 Apr 2026 16:07:48.000,84.175,-10.725,4045.115092
23 Apr 2026 16:08:48.000,85.137,-8.923,3747.065184
23 Apr 2026 16:09:48.000,86.610,-6.984,3440.423182
23 Apr 2026 16:10:48.000,88.731,-4.896,3128.741988
23 Apr 2026 16:11:48.000,91.696,-2.643,2816.652230
23 Apr 2026 16:12:48.000,95.786,-0.210,2510.454648
23 Apr 2026 16:13:48.000,101.395,2.396,2219.071806
23 Apr 2026 16:14:48.000,109.052,5.115,1955.446035
23 Apr 2026 16:15:48.000,119.325,7.736,1738.058600
23 Apr 2026 16:16:48.000,132.465,9.791,1590.791306
23 Apr 2026 16:17:48.000,147.719,10.620,1537.216043
23 Apr 2026 16:18:48.000,163.122,9.859,1588.312446
23 Apr 2026 16:19:48.000,176.663,7.837,1734.637981
23 Apr 2026 16:20:48.000,187.522,5.213,1953.351372
23 Apr 2026 16:21:48.000,195.916,2.468,2220.615027
23 Apr 2026 16:22:48.000,202.409,-0.178,2517.750374
23 Apr 2026 16:23:48.000,207.535,-2.657,2831.607729
23 Apr 2026 16:24:48.000,211.695,-4.964,3153.105294
23 Apr 2026 16:25:48.000,215.176,-7.112,3475.825589
23 Apr 2026 16:26:48.000,218.176,-9.116,3795.050545
23 Apr 2026 16:27:48.000,220.834,-10.990,4107.158604
23 Apr 2026 16:28:48.000,223.246,-12.743,4409.257850
23 Apr 2026 16:29:48.000,225.483,-14.382,4698.962379
23 Apr 2026 16:30:48.000,227.596,-15.910,4974.254278
23 Apr 2026 16:31:48.000,229.620,-17.329,5233.397451
23 Apr 2026 16:32:48.000,231.581,-18.638,5474.882697
23 Apr 2026 16:33:48.000,233.498,-19.836,5697.392927
23 Apr 2026 16:34:08.689,234.151,-20.223,5769.504662
23 Apr 2026 16:52:01.131,257.922,-20.593,5806.008846
23 Apr 2026 16:53:01.000,257.791,-19.573,5612.139238
23 Apr 2026 16:54:01.000,257.353,-18.478,5404.862500
23 Apr 2026 16:55:01.000,256.570,-17.319,5187.017559
23 Apr 2026 16:56:01.000,255.401,-16.107,4961.427211
23 Apr 2026 16:57:01.000,253.797,-14.858,4731.377303
23 Apr 2026 16:58:01.000,251.705,-13.588,4500.697337
23 Apr 2026 16:59:01.000,249.066,-12.317,4273.848452
23 Apr 2026 17:00:01.000,245.819,-11.072,4056.001879
23 Apr 2026 17:01:01.000,241.912,-9.886,3853.077609
23 Apr 2026 17:02:01.000,237.307,-8.800,3671.690095
23 Apr 2026 17:03:01.000,231.998,-7.864,3518.929088
23 Apr 2026 17:04:01.000,226.031,-7.133,3401.891094
23 Apr 2026 17:05:01.000,219.521,-6.659,3326.940615
23 Apr 2026 17:06:01.000,212.648,-6.482,3298.792620
23 Apr 2026 17:07:01.000,205.639,-6.623,3319.675975
23 Apr 2026 17:08:01.000,198.731,-7.072,3388.905981
23 Apr 2026 17:09:01.000,192.126,-7.797,3503.059724
23 Apr 2026 17:10:01.000,185.961,-8.748,3656.667875
23 Apr 2026 17:11:01.000,180.305,-9.873,3843.124668
23 Apr 2026 17:12:01.000,175.169,-11.120,4055.512806
23 Apr 2026 17:13:01.000,170.526,-12.448,4287.180212
23 Apr 2026 17:14:01.000,166.326,-13.821,4532.057567
23 Apr 2026 17:15:01.000,162.509,-15.211,4784.775146
23 Apr 2026 17:16:01.000,159.018,-16.598,5040.662911
23 Apr 2026 17:17:01.000,155.799,-17.963,5295.690874
23 Apr 2026 17:18:01.000,152.803,-19.294,5546.389465
23 Apr 2026 17:18:53.424,150.337,-20.418,5759.536283
23 Apr 2026 17:46:18.878,119.417,-20.561,5825.709562
23 Apr 2026 17:47:18.000,121.488,-19.678,5661.453202
23 Apr 2026 17:48:18.000,123.977,-18.831,5504.433691
23 Apr 2026 17:49:18.000,126.859,-18.053,5361.234288
23 Apr 2026 17:50:18.000,130.124,-17.369,5235.996316
23 Apr 2026 17:51:18.000,133.750,-16.801,5132.735201
23 Apr 2026 17:52:18.000,137.698,-16.370,5055.124442
23 Apr 2026 17:53:18.000,141.916,-16.094,5006.243660
23 Apr 2026 17:54:18.000,146.335,-15.989,4988.338631
23 Apr 2026 17:55:18.000,150.879,-16.060,5002.621677
23 Apr 2026 17:56:18.000,155.468,-16.308,5049.165316
23 Apr 2026 17:57:18.000,160.030,-16.726,5126.907324
23 Apr 2026 17:58:18.000,164.499,-17.301,5233.767285
23 Apr 2026 17:59:18.000,168.827,-18.016,5366.844987
23 Apr 2026 18:00:18.000,172.980,-18.851,5522.663795
23 Apr 2026 18:01:18.000,176.940,-19.784,5697.407980
23 Apr 2026 18:01:39.101,178.286,-20.132,5762.625889

