Name,Inclination_Deg,Eccentricity,SemiMajorAxis_km,Type
LAGEOS 1,109.8057,0.004467,12271.19,SATELLITE
LAGEOS 2,52.6637,0.013767,12161.89,SATELLITE
IRS-P5 (CARTOSAT-1),97.5342,0.000137,6973.18,SATELLITE
METEOSAT-9 (MSG-2),9.2574,0.000079,42163.16,SATELLITE
SPAINSAT,0.4429,0.000507,42164.31,SATELLITE
CARTOSAT-2A,97.7676,0.001027,7010.06,SATELLITE
OCEANSAT-2,98.2300,0.001575,7273.15,SATELLITE
CARTOSAT-2B,97.9994,0.001092,7011.65,SATELLITE
RESOURCESAT-2,98.7662,0.001185,7198.08,SATELLITE
YOUTHSAT,98.3659,0.001556,7184.58,SATELLITE
SBIRS GEO-1 (USA 230),4.4358,0.000216,42164.61,SATELLITE
GSAT-8,2.0123,0.000429,42164.62,SATELLITE
JUGNU,19.9603,0.001846,7224.66,SATELLITE
SRMSAT,19.9735,0.001175,7232.16,SATELLITE
METEOSAT-10 (MSG-3),4.5623,0.000217,42165.42,SATELLITE
GSAT-10,0.0128,0.000740,42164.89,SATELLITE
SARAL,98.5562,0.000292,7160.38,SATELLITE
SBIRS GEO-2 (USA 241),4.3904,0.000219,42164.82,SATELLITE
IRNSS-1A,35.6209,0.001696,42164.19,SATELLITE
INSAT-3D,1.8076,0.000151,42165.23,SATELLITE
GSAT-7,0.1021,0.000416,42164.55,SATELLITE
GSAT-14,0.0599,0.000188,42164.56,SATELLITE
IRNSS-1B,29.0068,0.002355,42164.05,SATELLITE
IRNSS-1C,6.4001,0.002163,42165.56,SATELLITE
GSAT-16,0.0370,0.000751,42164.46,SATELLITE
METEOSAT-11 (MSG-4),3.0862,0.000155,42166.43,SATELLITE
GSAT-6,1.7991,0.000307,42164.65,SATELLITE
ASTROSAT,5.9961,0.000744,6999.82,SATELLITE
GSAT-15,0.0563,0.000398,42165.02,SATELLITE
IRNSS-1E,33.1155,0.001724,42163.03,SATELLITE
IRNSS-1F,5.2322,0.001693,42163.39,SATELLITE
IRNSS-1G,5.0823,0.000597,42164.27,SATELLITE
BRISAT,0.0168,0.000231,42164.77,SATELLITE
CARTOSAT-2C,97.4517,0.000810,6886.12,SATELLITE
INSAT-3DR,0.1273,0.001119,42164.58,SATELLITE
PISAT,97.8185,0.002893,7042.72,SATELLITE
GSAT-18,0.0781,0.000543,42164.66,SATELLITE
RESOURCESAT-2A,98.7541,0.000188,7198.08,SATELLITE
SBIRS GEO-4 (USA 273),2.1559,0.000246,42164.43,SATELLITE
CARTOSAT-2D,97.4140,0.000541,6886.03,SATELLITE
GSAT-9,0.0626,0.000230,42164.40,SATELLITE
GSAT-19,0.0119,0.000723,42164.36,SATELLITE
CARTOSAT-2E,97.4308,0.000448,6886.32,SATELLITE
GSAT-17,0.0126,0.000367,42165.09,SATELLITE
